Song title	Artist	Decade	Genre	Release date ( Xbox360 )	Release date ( PlayStation3 )	Release date ( Wii )
"Dark Lord"	Fallen Angel	2010s	Metal	Feb.15,2011	No	No
"Enemy"	Stop the World	2010s	Rock	Feb.15,2011	No	No
"Everyone's the Same"	The B.O.L.T.	2000s	Indie Rock	Feb.15,2011	No	No
" Fight "	Midnight Sun	2000s	Metal	Feb.15,2011	No	No
"Fly on the Wall"	Minnesota Sex Junkies	2000s	Rock	Feb.15,2011	No	No
"Freeze Frame"	Super Gravity	2010s	Rock	Feb.15,2011	No	No
"Hate Myself"	Minnesota Sex Junkies	2000s	Indie Rock	Feb.15,2011	No	No
"Here Comes Tomorrow"	C&O	2000s	Rock	Feb.15,2011	No	No
"Hey You"	Gabriel and the Apocalypse	2000s	Glam	Feb.15,2011	No	No
"Homeless"	The B.O.L.T.	2000s	Indie Rock	Feb.15,2011	No	No
"I Can't Explain It"	Analogue Revolution feat. Bryan Steele	2000s	Rock	Feb.15,2011	No	No
"I Cannibal"	Calous	2010s	Metal	Feb.15,2011	No	No
"I Want It Back"	Minnesota Sex Junkies	2000s	Rock	Feb.15,2011	No	No
"Insanity of the Atoms"	Hedras Ramos	2010s	Metal	Feb.15,2011	No	No
"Leap of Faith"	Analogue Revolution feat. Wendy Drown	2000s	Pop-Rock	Feb.15,2011	No	No
"Life is a Roller Coaster"	Evan Olson	2000s	Pop-Rock	Feb.15,2011	No	No
"Like This"	Minnesota Sex Junkies	2000s	Indie Rock	Feb.15,2011	No	No
"Lose It All"	BulletProof Messenger	2000s	Rock	Feb.15,2011	No	No
"My Warning"	Severed	2010s	Metal	Feb.15,2011	No	No
"Nothing Ever Comes"	The B.O.L.T.	2000s	Indie Rock	Feb.15,2011	No	No
"Opening in G"	Kiev	2000s	Alternative	Feb.15,2011	No	No
"Other Personality"	Hip Kitty	2000s	Rock	Feb.15,2011	No	No
"Peace of Mind"	The Break Down	2000s	Urban	Feb.15,2011	No	No
"R U Ready For This"	Analogue Revolution feat. Bryan Steele	2000s	Rock	Feb.15,2011	No	No
"Railway Station"	The Lightfighters	2000s	Rock	Feb.15,2011	No	No
" The Girl Next Door "	Something Opus	2000s	Indie Rock	Feb.15,2011	No	No
" The Ones Who Get It "	Action Action	2010s	Alternative	Feb.15,2011	No	No
" The Stranger "	Bright Midnight	2000s	Rock	Feb.15,2011	No	No
" The Ultimate Power "	Severed	2010s	Metal	Feb.15,2011	No	No
"This Fantasy"	BulletProof Messenger	2000s	Rock	Feb.15,2011	June3,2011	No
"Trailer Park Scum"	Stereoside	2010s	Rock	Feb.15,2011	No	No
"Wearing a Martyr's Crown"	Nightrage	2000s	Metal	Feb.15,2011	No	No
"What Is Light? Where Is Laughter?"	Twin Atlantic	2000s	Alternative	Feb.15,2011	No	No
"What's a Man to Do?"	DoubleShot	2000s	Rock	Feb.15,2011	No	No
