Urban area (locality)	Municipality	Population	Land area (hectares)	Density (inh./km²)	Code
Stavsjö	Nyköping Municipality	212	28.36	747.53	854
Stavsnäs	Värmdö Municipality	810	57.00	1421.05	324
Stehag	Eslöv Municipality	1122	85.54	1311.67	3700
Stenared	Gothenburg Municipality	237	27.41	864.65	4574
Stenhamra	Ekerö Municipality	3336	290.85	1146.98	328
Steninge	Halmstad Municipality	836	173.80	481.01	4106
Stensele	Storuman Municipality	546	124.94	437.01	8320
Stensjön	Nässjö Municipality	224	55.01	407.20	1676
Stenstorp	Falköping Municipality	1668	165.99	1004.88	5436
Stensund och Krymla	Trosa Municipality	346	86.72	398.99	790
Stenungsund	Stenungsund Municipality	9987	1111.74	898.32	4568
Stenungsön	Stenungsund Municipality	264	54.58	483.69	4578
Sticklinge udde	Lidingö Municipality	2943	121.77	2416.85	332
Stidsvig	Klippan Municipality	754	117.53	641.54	3092
Stigen	Färgelanda Municipality	428	70.12	610.38	5048
Stigtomta	Nyköping Municipality	1942	179.22	1083.58	856
Stjärnhov	Gnesta Municipality	549	96.60	568.32	860
Stoby	Hässleholm Municipality	745	68.99	1079.87	3096
Stocka	Nordanstig Municipality	382	91.52	417.40	7292
Stockamöllan	Eslöv Municipality	300	42.43	707.05	3704
Stockaryd	Sävsjö Municipality	958	164.73	581.56	1680
Stockvik	Sundsvall Municipality	2359	228.19	1033.79	7670
Stora Bugärde	Härryda Municipality	367	101.93	360.05	4570
Stora Dyrön	Tjörn Municipality	250	23.84	1048.66	4572
Stora Herrestad	Ystad Municipality	293	47.44	617.62	3708
Stora Höga	Stenungsund Municipality	2751	242.51	1134.39	4576
Stora Levene	Vara Municipality	761	100.68	755.86	5440
Stora Mellby	Alingsås Municipality	321	54.50	588.99	5052
Stora Mellösa	Örebro Municipality	776	72.33	1072.86	6116
Stora Vika	Nynäshamn Municipality	651	47.64	1366.50	340
Storebro	Vimmerby Municipality	972	141.71	685.91	2412
Storfors	Storfors Municipality	2337	286.76	814.97	5812
Storuman	Storuman Municipality	2207	311.53	708.44	8324
Storvik	Sandviken Municipality	2165	262.17	825.80	7296
Storvreta	Uppsala Municipality	6347	303.88	2088.65	628
Storå	Lindesberg Municipality	1933	612.81	315.43	6120
Strandhugget	Norrköping Municipality	261	22.94	1137.75	996
Strandnorum	Stenungsund Municipality	1251	81.60	1533.09	4580
Striberg	Nora Municipality	317	70.23	451.37	6124
Strängnäs	Strängnäs Municipality	12856	653.10	1968.46	868
Strålsnäs	Boxholm Municipality	410	63.81	642.53	1264
Strångsjö	Katrineholm Municipality	365	59.15	617.08	864
Stråssa	Lindesberg Municipality	306	154.17	198.48	6128
Strömma	Värmdö Municipality	579	231.83	249.75	342
Strömsbruk	Nordanstig Municipality	362	94.16	384.45	7304
Strömsfors	Norrköping Municipality	528	81.64	646.74	1268
Strömsholm	Hallstahammar Municipality	664	128.88	515.21	6328
Strömsnäsbruk	Markaryd Municipality	2066	332.58	621.20	1980
Strömstad	Strömstad Municipality	6288	340.49	1846.75	4584
Strömsund	Strömsund Municipality	3589	362.66	989.63	7960
Strövelstorp	Ängelholm Municipality	1087	85.56	1270.45	3100
Stugun	Ragunda Municipality	659	124.09	531.07	7964
Sturefors	Linköping Municipality	2229	104.97	2123.46	1272
Sturkö	Karlskrona Municipality	1264	577.74	218.78	2740
Styrsö	Gothenburg Municipality	1304	158.22	824.17	4588
Ställdalen	Ljusnarsberg Municipality	539	210.35	256.24	6136
Stånga	Gotland Municipality	317	104.76	302.60	2540
Stångby	Lund Municipality	1218	78.78	1546.08	3712
Stöcke	Umeå Municipality	483	49.24	980.91	8332
Stöcksjö	Umeå Municipality	215	39.04	550.72	8334
Stöde	Sundsvall Municipality	572	117.79	485.61	7676
Stöllet	Torsby Municipality	245	80.60	303.97	5816
Stöpen	Skövde Municipality	1401	89.95	1557.53	5444
Sulvik	Arvika Municipality	312	79.98	390.10	5820
Sund	Trosa Municipality	329	115.32	285.29	898
Sundborn	Falun Municipality	762	87.51	870.76	6768
Sundby	Ekerö Municipality	270	21.34	1265.23	266
Sundbyholm	Eskilstuna Municipality	485	75.43	642.98	870
Sundhultsbrunn	Aneby Municipality	311	40.07	776.14	1684
Sundsbruk	Sundsvall Municipality	2137	463.06	461.50	7684
Sundsvall	Sundsvall Municipality	50712	2746.20	1846.62	7688
Sunnansjö	Ludvika Municipality	560	155.49	360.15	6772
Sunne	Sunne Municipality	4931	457.42	1078.00	5824
Sunnemo	Hagfors Municipality	241	58.58	411.40	5828
Sunningen	Uddevalla Municipality	742	80.15	925.76	4590
Surahammar	Surahammar Municipality	6179	548.82	1125.87	6332
Surte	Ale Municipality	5798	361.48	1603.96	5056
Svalsta	Nyköping Municipality	1078	76.88	1402.19	876
Svalöv	Svalöv Municipality	3633	239.37	1517.73	3716
Svanberga	Norrtälje Municipality	501	58.06	862.90	348
Svanesund	Orust Municipality	1518	154.45	982.84	4592
Svanskog	Säffle Municipality	510	153.19	332.92	5832
Svanvik	Orust Municipality	293	34.89	839.78	4594
Svappavaara	Kiruna Municipality	417	91.51	455.69	8864
Svartbyn	Överkalix Municipality	265	121.69	217.77	8868
Svarte	Ystad Municipality	902	62.38	1445.98	3720
Svartvik	Sundsvall Municipality	949	134.91	703.43	7696
Svartå	Degerfors Municipality	495	109.79	450.86	6140
Svedala	Svedala Municipality	10627	488.81	2174.06	3724
Sveg	Härjedalen Municipality	2547	284.70	894.63	7968
Svenljunga	Svenljunga Municipality	3418	437.61	781.06	5060
Svensbyn	Piteå Municipality	342	51.72	661.25	8876
Svenshögen	Stenungsund Municipality	421	42.72	985.49	4598
Svenstavik	Berg Municipality	1004	150.68	666.31	7976
Svenstorp	Ängelholm Municipality	239	23.52	1016.16	3102
Svinninge	Österåker Municipality	1636	371.06	440.90	350
Svängsta	Karlshamn Municipality	1682	225.54	745.77	2748
Svärdsjö	Falun Municipality	1251	135.26	924.89	6776
Svärtinge	Norrköping Municipality	2963	385.73	768.15	1276
Sya	Mjölby Municipality	306	35.99	850.24	1280
Sysslebäck	Torsby Municipality	527	149.95	351.45	5836
Säffle	Säffle Municipality	8991	735.26	1222.83	5840
Sälen	Malung-Sälen Municipality	652	132.71	491.30	6784
Sälgsjön	Gävle Municipality	207	28.08	737.18	7308
Särna	Älvdalen Municipality	719	364.38	197.32	6788
Särö	Kungsbacka Municipality	3165	449.55	704.04	4108
Säter	Säter Municipality	4429	380.52	1163.93	6792
Sätila	Mark Municipality	1059	108.21	978.65	5064
Sätofta	Höör Municipality	1348	173.70	776.05	3728
Sätra brunn	Sala Municipality	335	69.32	483.27	6336
Sävar	Umeå Municipality	2670	244.52	1091.94	8336
Sävast	Boden Municipality	3148	358.93	877.05	8878
Säve	Gothenburg Municipality	743	46.53	1596.82	4596
Sävja	Uppsala Municipality	9684	402.35	2406.86	632
Sävsjö	Sävsjö Municipality	5122	439.20	1166.21	1688
Sågmyra	Falun Municipality	546	153.42	355.89	6780
Söderala	Söderhamn Municipality	949	168.39	563.57	7312
Söderby	Ekerö Municipality	250	58.61	426.55	362
Söderby-Karl	Norrtälje Municipality	231	66.96	344.98	352
Söderbärke	Smedjebacken Municipality	924	207.92	444.40	6796
Söderfors	Tierp Municipality	1572	226.52	693.98	636
Söderhamn	Söderhamn Municipality	11761	1053.26	1116.63	7316
Söderköping	Söderköping Municipality	6992	402.38	1737.66	1284
Söderskogen	Håbo Municipality	378	59.36	636.79	638
Södersvik	Norrtälje Municipality	281	80.27	350.07	354
Södertälje	Södertälje Municipality	64619	2584.45	2500.30	356
Söderåkra	Torsås Municipality	912	135.17	674.71	2416
Södra Bergsbyn och Stackgrönn	Skellefteå Municipality	393	79.69	493.16	8342
Södra Klagshamn	Malmö Municipality	1367	44.73	3056.11	3524
Södra Näs	Varberg Municipality	671	60.27	1113.32	4122
Södra Sandby	Lund Municipality	6136	362.99	1690.40	3732
Södra Sunderbyn	Luleå Municipality	2977	200.39	1485.60	8880
Södra Vi	Vimmerby Municipality	1182	156.28	756.33	2420
Södra Vrams fälad	Bjuv Municipality	249	41.55	599.28	3736
Sölvesborg	Sölvesborg Municipality	8401	609.84	1377.57	2752
Sörfors	Umeå Municipality	403	120.85	333.47	8344
Sörforsa	Hudiksvall Municipality	1574	205.63	765.45	7320
Sörmjöle	Umeå Municipality	212	26.16	810.40	8348
Sörstafors	Hallstahammar Municipality	278	43.03	646.06	6340
Sörvik	Ludvika Municipality	743	136.41	544.68	6804
Söråker	Timrå Municipality	2312	507.89	455.22	7700
Sösdala	Hässleholm Municipality	1811	196.57	921.30	3104
Sövde	Sjöbo Municipality	291	34.73	837.89	3738
Sövestad	Ystad Municipality	386	43.18	893.93	3740
Taberg	Jönköping Municipality	4392	349.39	1257.05	1692
Tahult	Härryda Municipality	585	65.89	887.84	4640
Tallvik	Överkalix Municipality	434	37.86	1146.33	8884
Tallåsen	Ljusdal Municipality	586	142.28	411.86	7324
Tandsbyn	Östersund Municipality	374	58.43	640.08	7984
Tanumshede	Tanum Municipality	1697	187.48	905.16	4600
Tavelsjö	Umeå Municipality	245	21.90	1118.72	8352
Teckomatorp	Svalöv Municipality	1651	121.94	1353.94	3744
Tenhult	Jönköping Municipality	2977	240.96	1235.47	1696
Tibro	Tibro Municipality	8018	737.14	1087.72	5456
Tidaholm	Tidaholm Municipality	8027	570.23	1407.68	5460
Tidan	Skövde Municipality	935	132.34	706.51	5464
Tidö-Lindö	Västerås Municipality	637	119.87	531.41	6342
Tierp	Tierp Municipality	5587	410.73	1360.26	640
Tillberga	Västerås Municipality	2180	166.43	1309.86	6344
Timmele	Ulricehamn Municipality	847	121.01	699.94	5068
Timmernabben	Mönsterås Municipality	1276	148.75	857.82	2424
Timmersdala	Skövde Municipality	875	67.42	1297.83	5468
Timrå	Timrå Municipality	10443	1202.53	868.42	7704
Timsfors	Markaryd Municipality	637	101.62	626.85	1988
Tingsryd	Tingsryd Municipality	3037	354.38	856.99	1992
Tingstäde	Gotland Municipality	265	115.63	229.18	2542
Tjautjas/Cavccas	Gällivare Municipality	234	63.69	367.40	8886
Tjuvkil	Kungälv Municipality	501	88.68	564.95	4604
Tjällmo	Motala Municipality	557	71.11	783.29	1292
Tjörnarp	Höör Municipality	731	118.32	617.82	3748
Toarp	Malmö Municipality	219	13.32	1644.14	3750
Tobo	Tierp Municipality	607	103.13	588.58	648
Tofta	Varberg Municipality	386	55.64	693.75	4112
Toftbyn	Falun Municipality	243	96.63	251.47	6814
Tollarp	Kristianstad Municipality	3284	373.30	879.72	3108
Tollered	Lerum Municipality	900	65.14	1381.64	5072
Tomelilla	Tomelilla Municipality	6444	568.23	1134.05	3112
Torarp	Karlshamn Municipality	263	79.31	331.61	2754
Torbjörntorp	Falköping Municipality	475	74.04	641.55	5472
Torekov	Båstad Municipality	863	178.10	484.56	3116
Torestorp	Mark Municipality	419	70.43	594.92	5076
Torhamn	Karlskrona Municipality	423	102.15	414.10	2760
Tormestorp	Hässleholm Municipality	1050	102.63	1023.09	3120
Torna Hällestad	Lund Municipality	584	37.82	1544.16	3480
Torpsbruk	Alvesta Municipality	334	65.41	510.63	1996
Torpshammar	Ånge Municipality	444	163.23	272.01	7708
Torreby	Munkedal Municipality	215	31.36	685.59	4554
Torsby	Torsby Municipality	4049	548.81	737.78	5844
Torsby	Värmdö Municipality	477	147.14	324.18	366
Torsebro	Kristianstad Municipality	270	64.02	421.74	3124
Torshälla huvud	Eskilstuna Municipality	492	138.74	354.62	882
Torshälla	Eskilstuna Municipality	7612	563.77	1350.20	880
Torsåker	Hofors Municipality	899	121.74	738.46	7332
Torsång	Borlänge Municipality	666	108.04	616.44	6806
Torsås	Torsås Municipality	1848	247.74	745.94	2428
Tortuna	Västerås Municipality	459	62.18	738.18	6348
Torup	Hylte Municipality	1183	162.85	726.44	4116
Tosseryd	Borås Municipality	223	26.75	833.64	5078
Totebo	Västervik Municipality	239	49.97	478.29	2432
Totra	Gävle Municipality	273	75.91	359.64	7336
Tranemo	Tranemo Municipality	3168	299.14	1059.04	5080
Tranholmen	Danderyd Municipality	338	41.06	823.19	368
Transtrand	Malung-Sälen Municipality	386	215.15	179.41	6808
Tranås	Tranås Municipality	14197	1055.66	1344.85	1700
Traryd	Markaryd Municipality	660	157.87	418.07	2000
Trekanten	Kalmar Municipality	1422	194.07	732.73	2436
Trelleborg	Trelleborg Municipality	28290	1365.73	2071.42	3752
Trollhättan	Trollhättan Municipality	46457	2377.58	1953.96	5084
Trosa	Trosa Municipality	5027	360.03	1396.27	884
Trulsegården	Gothenburg Municipality	211	17.07	1236.09	5086
Trädet	Ulricehamn Municipality	277	55.45	499.55	5088
Träslövsläge	Varberg Municipality	2600	159.50	1630.09	4120
Trångsviken	Krokom Municipality	288	64.27	448.11	7988
Tråvad	Vara Municipality	448	73.50	609.52	5476
Trödje	Gävle Municipality	333	70.02	475.58	7340
Trönninge	Halmstad Municipality	1504	126.41	1189.78	4124
Trönninge	Varberg Municipality	880	57.60	1527.78	4128
Tulebo	Mölndal Municipality	213	34.91	610.14	4602
Tumba	Botkyrka Municipality Salem Municipality	37852	1773.53	2134.27	372
Tumbo	Eskilstuna Municipality	292	52.73	553.76	886
Tumlehed	Gothenburg Municipality	475	38.07	1247.70	4510
Tun	Lidköping Municipality	206	38.01	541.96	5480
Tuna	Södertälje Municipality	232	34.60	670.52	374
Tuna	Vimmerby Municipality	227	28.63	792.87	2440
Tunadal	Sundsvall Municipality	360	177.23	203.13	7716
Tunnerstad	Jönköping Municipality	295	101.76	289.90	1708
Tureholm	Ekerö Municipality	260	95.05	273.54	378
Tving	Karlskrona Municipality	459	102.16	449.30	2764
Tvärskog	Kalmar Municipality	404	66.53	607.24	2444
Tvärålund	Vindeln Municipality	257	80.50	319.25	8356
Tvååker	Varberg Municipality	2534	223.49	1133.83	4132
Tygelsjö	Malmö Municipality	2710	122.34	2215.14	3756
Tylösand	Halmstad Municipality	399	51.11	780.67	4134
Tyringe	Hässleholm Municipality	4658	395.38	1178.11	3128
Tystberga	Nyköping Municipality	828	92.31	896.98	888
Täfteå	Umeå Municipality	1231	131.23	938.05	8360
Täljö	Österåker Municipality	387	91.67	422.17	290
Tällberg	Leksand Municipality	606	307.96	196.78	6816
Tärnaby	Storuman Municipality	482	163.92	294.05	8364
Tärnsjö	Heby Municipality	1221	189.21	645.31	6352
Tävelsås	Växjö Municipality	225	35.21	639.02	2002
Tågarp	Svalöv Municipality Landskrona Municipality	431	42.05	1024.97	3760
Tånga och Rögle	Helsingborg Municipality	223	42.55	524.09	3764
Tångaberg	Varberg Municipality	468	46.84	999.15	4136
Töcksfors	Årjäng Municipality	1158	190.86	606.73	5848
Töllsjö	Bollebygd Municipality	369	44.52	828.84	5092
Töre	Kalix Municipality	1099	260.55	421.80	8896
Töreboda	Töreboda Municipality	4189	363.79	1151.49	5484
Törestorp	Gnosjö Municipality	203	58.26	348.44	1714
Tösse	Åmål Municipality	305	58.26	523.52	5096
Ucklum	Stenungsund Municipality	255	29.96	851.13	4606
Uddebo	Tranemo Municipality	258	58.21	443.22	5100
Uddeholm	Hagfors Municipality	667	143.36	465.26	5852
Uddevalla	Uddevalla Municipality	31212	1691.76	1844.94	4608
Uddheden	Sunne Municipality	258	73.85	349.36	5856
Ullared	Falkenberg Municipality	791	135.09	585.54	4140
Ullatti	Gällivare Municipality	213	157.27	135.44	8900
Ullervad	Mariestad Municipality	935	121.82	767.53	5488
Ullånger	Kramfors Municipality	626	97.76	640.34	7680
Ulricehamn	Ulricehamn Municipality	9787	623.00	1570.95	5104
Ulrika	Linköping Municipality	200	36.87	542.45	1296
Ulvkälla	Härjedalen Municipality	456	94.65	481.77	7996
Ulvåker	Skövde Municipality	254	24.31	1044.84	5492
Umeå	Umeå Municipality	79594	3415.23	2330.56	8372
Unbyn	Boden Municipality	468	75.28	621.68	8902
Undenäs	Karlsborg Municipality	237	60.88	389.29	5496
Undersåker	Åre Municipality	438	80.69	542.82	8000
Unnaryd	Hylte Municipality	759	125.95	602.62	4144
Upphärad	Trollhättan Municipality	588	59.12	994.59	5108
Upplanda	Tierp Municipality	364	102.95	353.57	652
Uppsala	Uppsala Municipality	140454	4877.38	2879.70	656
Urshult	Tingsryd Municipality	794	146.31	542.68	2004
Ursviken	Skellefteå Municipality	3977	371.51	1070.50	8310
Utansjö	Härnösand Municipality	209	101.05	206.83	7720
Utby	Uddevalla Municipality	267	40.63	657.15	5106
Utvälinge	Helsingborg Municipality	227	24.47	927.67	3766
Vad	Smedjebacken Municipality	308	100.07	307.78	6820
Vadstena	Vadstena Municipality	5613	341.22	1644.98	1300
Vaggeryd	Vaggeryd Municipality	4920	479.65	1025.75	1720
Vagnhärad	Trosa Municipality	3324	290.51	1144.19	896
Valbo	Gävle Municipality	7065	823.72	857.69	7344
Valdemarsvik	Valdemarsvik Municipality	2772	288.95	959.34	1304
Valje	Bromölla Municipality Sölvesborg Municipality	823	89.40	920.58	3136
Valla	Katrineholm Municipality	1517	133.46	1136.67	900
Vallargärdet	Karlstad Municipality	382	64.06	596.32	5860
Vallberga	Laholm Municipality	657	86.68	757.96	4148
Vallda	Kungsbacka Municipality	1604	141.19	1136.06	4152
Vallentuna	Vallentuna Municipality Täby Municipality	29519	1595.50	1850.14	388
Vallsta	Bollnäs Municipality	277	69.38	399.25	7348
Vallvik	Söderhamn Municipality	258	122.53	210.56	7352
Vallåkra	Helsingborg Municipality	642	58.93	1089.43	3772
Valskog	Kungsör Municipality	694	89.04	779.42	6360
Vankiva	Hässleholm Municipality	340	44.06	771.67	3140
Vannsätter	Söderhamn Municipality	434	115.94	374.33	7356
Vansbro	Vansbro Municipality	2026	330.77	612.51	6828
Vansö kyrkby	Strängnäs Municipality	202	21.08	958.25	902
Vaplan	Krokom Municipality	263	56.07	469.06	8002
Vara	Vara Municipality	3889	302.58	1285.28	5500
Varberg	Varberg Municipality	27602	1335.45	2066.87	4156
Varekil	Orust Municipality	602	66.01	911.98	4610
Vargön	Vänersborg Municipality	4919	351.05	1401.22	5112
Varnhem	Skara Municipality	707	79.57	888.53	5504
Vartofta	Falköping Municipality	540	62.47	864.41	5508
Vassbäck	Kungsbacka Municipality	617	132.39	466.05	4158
Vassmolösa	Kalmar Municipality	535	136.41	392.20	2452
Vattholma	Uppsala Municipality	1427	116.09	1229.22	660
Vattjom	Sundsvall Municipality	477	91.96	518.70	7726
Vattnäs	Mora Municipality	294	72.21	407.15	6832
Vattubrinken	Södertälje Municipality	332	69.14	480.19	390
Vaxholm	Vaxholm Municipality	4857	163.97	2962.13	392
Veberöd	Lund Municipality	4062	267.12	1520.66	3776
Veddige	Varberg Municipality	2045	176.84	1156.41	4160
Vedevåg	Lindesberg Municipality	656	146.43	448.00	6148
Vedum	Vara Municipality	926	106.67	868.10	5512
Vegby	Ulricehamn Municipality	549	80.13	685.14	5116
Veinge	Laholm Municipality	1190	130.74	910.20	4164
Vejbystrand	Ängelholm Municipality Båstad Municipality	2721	274.35	991.80	3144
Velanda	Trollhättan Municipality	581	50.50	1150.50	5038
Vellinge	Vellinge Municipality	6304	316.69	1990.59	3780
Vemdalen	Härjedalen Municipality	542	318.58	170.13	8008
Vena	Hultsfred Municipality	367	79.15	463.68	2456
Venjan	Mora Municipality	295	201.29	146.55	6836
Vessigebro	Falkenberg Municipality	740	102.62	721.11	4168
Vetlanda	Vetlanda Municipality	13050	1017.02	1283.16	1724
Vi	Sundsvall Municipality	4997	344.13	1452.07	7404
Vibble	Gotland Municipality	1286	125.12	1027.81	2548
Viby	Kristianstad Municipality	991	104.77	945.88	3148
Vickleby	Mörbylånga Municipality	320	72.64	440.53	2458
Vidja	Huddinge Municipality	682	174.33	391.21	394
Vidsel	Älvsbyn Municipality	533	74.16	718.72	8904
Vidöåsen	Hammarö Municipality	272	30.30	897.69	5862
Vik	Simrishamn Municipality	319	60.67	525.80	3152
Vika	Falun Municipality	445	59.85	743.53	6840
Vikarbyn	Rättvik Municipality	1171	256.88	455.85	6848
Viken	Höganäs Municipality Helsingborg Municipality	4227	244.67	1727.63	3784
Vikingstad	Linköping Municipality	2096	161.03	1301.62	1308
Vikmanshyttan	Hedemora Municipality	843	154.13	546.94	6852
Viksjöfors	Ovanåker Municipality	244	63.39	384.92	7360
Viksäter	Södertälje Municipality	459	63.12	727.19	398
Vilhelmina	Vilhelmina Municipality	3657	354.13	1032.67	8376
Villshärad	Halmstad Municipality	656	84.57	775.69	4176
Vilshult	Olofström Municipality	314	82.55	380.38	2772
Vimmerby	Vimmerby Municipality	7934	755.50	1050.17	2460
Vinberg	Falkenberg Municipality	592	44.69	1324.68	4180
Vinbergs kyrkby	Falkenberg Municipality	208	64.29	323.53	4182
Vindeln	Vindeln Municipality	2333	296.13	787.83	8380
Vingåker	Vingåker Municipality	4282	386.85	1106.89	904
Vinninga	Lidköping Municipality	1078	86.17	1251.02	5516
Vinnö	Kristianstad Municipality	536	92.97	576.53	3156
Vinslöv	Hässleholm Municipality	3984	415.51	958.82	3160
Vintrie	Malmö Municipality	670	29.74	2252.86	3788
Vintrosa	Örebro Municipality	1343	162.70	825.45	6152
Vinäs	Mora Municipality	329	87.39	376.47	6860
Virsbo	Surahammar Municipality	1517	204.71	741.05	6364
Virserum	Hultsfred Municipality	1742	262.10	664.63	2464
Visby	Gotland Municipality	22593	1244.28	1815.75	2552
Viskafors	Borås Municipality	3790	385.58	982.93	5120
Vislanda	Alvesta Municipality	1769	223.87	790.19	2012
Vissefjärda	Emmaboda Municipality	670	114.69	584.18	2468
Vistträsk	Älvsbyn Municipality	248	42.62	581.89	8908
Vitaby	Simrishamn Municipality	278	37.21	747.11	3164
Vittangi	Kiruna Municipality	784	226.78	345.71	8912
Vittaryd	Ljungby Municipality	318	70.99	447.95	2016
Vittinge	Heby Municipality	460	130.34	352.92	6368
Vittjärv	Boden Municipality	445	70.67	629.69	8916
Vittsjö	Hässleholm Municipality	1665	265.28	627.64	3168
Vittskövle	Kristianstad Municipality	235	40.35	582.40	3170
Vollsjö	Sjöbo Municipality	836	95.06	879.44	3792
Vrena	Nyköping Municipality	626	97.20	644.03	908
Vretstorp	Hallsberg Municipality	842	183.21	459.58	6156
Vrigstad	Sävsjö Municipality	1421	197.31	720.19	1728
Vrångö	Gothenburg Municipality	364	39.61	918.96	4612
Vuollerim	Jokkmokk Municipality	732	201.95	362.47	8920
Väckelsång	Tingsryd Municipality	905	123.30	733.98	2020
Väderstad	Mjölby Municipality	583	98.26	593.32	1316
Väggarp	Eslöv Municipality	211	13.34	1581.71	3830
Väjern	Sotenäs Municipality	688	40.77	1687.52	4616
Väländan	Haninge Municipality	469	118.01	397.42	402
Väne-Åsaka	Trollhättan Municipality	292	47.66	612.67	5128
Vänersborg	Vänersborg Municipality	21699	1156.51	1876.25	5132
Vänge	Uppsala Municipality	1331	78.13	1703.57	516
Vännäs	Vännäs Municipality	4118	327.53	1257.29	8384
Vännäsby	Vännäs Municipality	1552	187.07	829.64	8388
Väring	Skövde Municipality	571	66.73	855.69	5520
Värmdö-Evlinge	Värmdö Municipality	559	124.44	449.21	154
Värmlandsbro	Säffle Municipality	501	86.04	582.29	5868
Värnamo	Värnamo Municipality	18696	1217.24	1535.93	1732
Värsås	Skövde Municipality	578	64.17	900.73	5524
Väröbacka	Varberg Municipality	630	94.88	664.00	4188
Väse	Karlstad Municipality	494	69.06	715.32	5872
Väskinde	Gotland Municipality	337	39.82	846.31	2556
Västanvik	Leksand Municipality	385	146.29	263.18	6872
Västerberg	Sandviken Municipality	242	70.16	344.93	7364
Västerby	Hedemora Municipality	368	57.58	639.11	6880
Västerfärnebo	Sala Municipality	477	96.13	496.20	6372
Västerhaninge	Haninge Municipality	15134	931.56	1624.59	404
Västerhejde	Gotland Municipality	313	53.06	589.90	2560
Västerhus	Örnsköldsvik Municipality	326	101.35	321.66	7728
Västerljung	Trosa Municipality	398	35.57	1118.92	910
Västerlösa	Linköping Municipality	206	44.99	457.88	1318
Västermyckeläng	Älvdalen Municipality	279	84.69	329.44	6884
Västervik	Västervik Municipality	21140	1291.50	1636.86	2472
Västerås	Västerås Municipality	110877	5293.87	2094.44	6376
Västibyn	Umeå Municipality	234	25.71	910.15	8390
Västra Bispgården	Ragunda Municipality	518	142.12	364.48	7808
Västra Bodarna	Alingsås Municipality	1059	205.04	516.48	5136
Västra Hagen	Kungsbacka Municipality	969	168.00	576.79	4224
Västra Husby	Söderköping Municipality	486	39.16	1241.06	1320
Västra Ingelstad	Vellinge Municipality	721	57.31	1258.07	3800
Västra Karaby	Kävlinge Municipality	229	48.91	468.21	3802
Västra Karup	Båstad Municipality	582	114.64	507.68	3172
Västra Klagstorp	Malmö Municipality	279	27.41	1017.88	3804
Västra Tommarp	Trelleborg Municipality	214	20.43	1047.48	3806
Västra Ämtervik	Sunne Municipality	366	108.29	337.98	5876
Växjö	Växjö Municipality	60887	3027.97	2010.82	2024
Vålberg	Karlstad Municipality	2770	386.03	717.56	5864
Våmhus	Mora Municipality	857	174.44	491.29	6864
Vånga	Norrköping Municipality	220	31.04	708.76	1310
Vårdsätra	Uppsala Municipality	237	28.42	833.92	666
Vårgårda	Vårgårda Municipality	5133	430.62	1192.00	5124
Vårsta	Botkyrka Municipality	2396	132.65	1806.26	396
Våxtorp	Laholm Municipality	970	136.45	710.88	4184
Yngsjö	Kristianstad Municipality	302	46.30	652.27	3180
Ysby	Laholm Municipality	260	35.83	725.65	4190
Ystad	Ystad Municipality	18350	865.48	2120.21	3808
Ytterhogdal	Härjedalen Municipality	534	226.17	236.11	8012
Ytternäs och Vreta	Uppsala Municipality	636	145.98	435.68	662
Yttersjö	Umeå Municipality	384	87.70	437.86	8394
Ytterån	Krokom Municipality	204	102.66	198.71	8016
Zinkgruvan	Askersund Municipality	391	225.33	173.52	6160
Åby	Norrköping Municipality	4980	331.56	1501.99	1324
Åby	Växjö Municipality	456	72.70	627.24	2028
Åbyggeby	Gävle Municipality	811	145.02	559.23	7368
Åbytorp	Kumla Municipality	755	113.82	663.33	6164
Åhus	Kristianstad Municipality	9423	963.09	978.41	3184
Åkarp	Burlöv Municipality	5617	232.33	2417.68	3812
Åkers styckebruk	Strängnäs Municipality	2891	302.63	955.29	912
Åkersberga	Österåker Municipality	28033	1626.69	1723.32	408
Ålberga	Nyköping Municipality	247	45.17	546.82	916
Åled	Halmstad Municipality	1634	202.27	807.83	4192
Ålem	Mönsterås Municipality	803	115.43	695.66	2480
Åmmeberg	Askersund Municipality	590	211.54	278.91	6168
Åmot	Ockelbo Municipality	277	144.42	191.80	7372
Åmotfors	Eda Municipality Arvika Municipality	1410	260.23	541.83	5880
Åmsele	Vindeln Municipality	209	81.46	256.57	8392
Åmynnet	Örnsköldsvik Municipality	340	34.35	989.81	7732
Åmål	Åmål Municipality	9065	753.67	1202.78	5140
Ånge	Ånge Municipality	2872	359.80	798.22	7736
Ånäset	Robertsfors Municipality	610	121.33	502.76	8396
Åre	Åre Municipality	1417	167.19	847.54	8024
Årjäng	Årjäng Municipality	3228	409.99	787.34	5884
Årstad	Falkenberg Municipality	284	36.72	773.42	4196
Årsunda	Sandviken Municipality	1008	125.17	805.30	7376
Åryd	Karlshamn Municipality	336	67.15	500.37	2776
Åryd	Växjö Municipality	684	80.94	845.07	2032
Ås	Krokom Municipality	1218	120.15	1013.73	8028
Ås	Nora Municipality	499	49.11	1016.09	6176
Åsa	Kungsbacka Municipality	3369	281.46	1196.97	4200
Åsarne	Berg Municipality	268	64.64	414.60	8032
Åsarp	Falköping Municipality	598	88.22	677.85	5532
Åsbro	Askersund Municipality	1164	217.35	535.54	6172
Åsby	Varberg Municipality	423	64.26	658.26	4204
Åseda	Uppvidinge Municipality	2430	263.57	921.96	2036
Åsele	Åsele Municipality	1798	337.93	532.06	8400
